TIME_MILLIS,DATE,CONTENT,NOTES,SOURCELOG
1400206155000,2014-4-16 3:9:15,2014-05-16 3:09:15;INFO;TASK;*;Created work template;verify,None.,codex.log
1400206165000,2014-4-16 3:9:25,2014-05-16 3:09:25;INFO;TASK;*;New task;verify:Media Verify:fc638192-cc12-4af7-992b-1993fcb480ea,None.,codex.log
1400206165000,2014-4-16 3:9:25,2014-05-16 3:09:25;INFO;TASK;*;New Media Found;A001R1ND (6fd04b35-8746-40ce-9d91-8aaccebc5122),None.,codex.log
1400206165000,2014-4-16 3:9:25,2014-05-16 3:09:25;INFO;TASK;*;Verifying shot 1/1 A011C001_140516_R6ND;verify:Media Verify:fc638192-cc12-4af7-992b-1993fcb480ea,None.,codex.log
1400206165000,2014-4-16 3:9:25,2014-05-16 3:09:25;INFO;TASK;*;Task started;verify:Media Verify:fc638192-cc12-4af7-992b-1993fcb480ea,None.,codex.log
1400206171000,2014-4-16 3:9:31,2014-05-16 3:09:31;ERROR;TASK;*;CRC added/repaired on A011C001_140516_R6ND(31879617baff45c19efb89303db5721b);verify on A001R1ND @ 16 May 2014 3:09:25 am,None.,codex.log
1400206171000,2014-4-16 3:9:31,2014-05-16 3:09:31;INFO;TASK;*;;Successfully repaired 1 out of 1,None.,codex.log
1400206171000,2014-4-16 3:9:31,;;verify on A001R1ND @ 16 May 2014 3:09:25 am,Date/time est.,codex.log
1400206171000,2014-4-16 3:9:31,2014-05-16 3:09:31;INFO;TASK;*;;Successfully repaired 1 out of 1,None.,codex.log
1400206171000,2014-4-16 3:9:31,0 shots verified successfully.,Date/time est.,codex.log
1400206171010,2014-4-16 3:9:31,;;verify on A001R1ND @ 16 May 2014 3:09:25 am,Date/time est.,codex.log
1400206176000,2014-4-16 3:9:36,2014-05-16 3:09:36;ERROR;TASK;*;0 shots successfully verified;verify on A001R1ND @ 16 May 2014 3:09:25 am,None.,codex.log
1400206176000,2014-4-16 3:9:36,2014-05-16 3:09:36;INFO;TASK;*;Task finished - state: Complete;verify:Media Verify:fc638192-cc12-4af7-992b-1993fcb480ea,None.,codex.log
1400206176000,2014-4-16 3:9:36,2014-05-16 3:09:36;INFO;TASK;*;Job completed:verify on A001R1ND @ 16 May 2014 3:09:36 am;fc638192-cc12-4af7-992b-1993fcb480ea,None.,codex.log
1400206251000,2014-4-16 3:10:51,2014-05-16 3:10:51;INFO;TASK;*;Created work template;clone to internal,None.,codex.log
1400206264000,2014-4-16 3:11:4,2014-05-16 3:11:04;INFO;TASK;*;New task;clone to internal:Clone:56a99435-9c17-4d1c-bef1-403f07fb543a,None.,codex.log
1400206264000,2014-4-16 3:11:4,2014-05-16 3:11:04;INFO;TASK;*;Task started;clone to internal:Clone:56a99435-9c17-4d1c-bef1-403f07fb543a,None.,codex.log
1400206264000,2014-4-16 3:11:4,2014-05-16 3:11:04;INFO;TASK;*;Error couldn't find task marker to update on A001R1ND (6fd04b35-8746-40ce-9d91-8aaccebc5122);,None.,codex.log
1400206264000,2014-4-16 3:11:4,2014-05-16 3:11:04;INFO;TASK;*;Error couldn't find task marker to update on A001R1ND (6fd04b35-8746-40ce-9d91-8aaccebc5122);Destination dfec4ded-1d36-4741-9351-3c21a40592fc;,None.,codex.log
1400206269000,2014-4-16 3:11:9,2014-05-16 3:11:09;INFO;TASK;*;Error couldn't find task marker to update on A001R1ND (6fd04b35-8746-40ce-9d91-8aaccebc5122);Complete,None.,codex.log
1400206269000,2014-4-16 3:11:9,2014-05-16 3:11:09;INFO;TASK;*;Task finished - state: Complete;clone to internal:Clone:56a99435-9c17-4d1c-bef1-403f07fb543a,None.,codex.log
1400206269000,2014-4-16 3:11:9,2014-05-16 3:11:09;INFO;TASK;*;Job completed:clone to internal on A001R1ND @ 16 May 2014 3:11:09 am;56a99435-9c17-4d1c-bef1-403f07fb543a,None.,codex.log
1400208164000,2014-4-16 3:42:44,2014-05-16 3:42:44;INFO;TASK;*;New task;clone to internal:Clone:96e15ca7-d792-454d-b639-bd09fccec94c,None.,codex.log
1400208164000,2014-4-16 3:42:44,2014-05-16 3:42:44;INFO;TASK;*;Task started;clone to internal:Clone:96e15ca7-d792-454d-b639-bd09fccec94c,None.,codex.log
1400208165000,2014-4-16 3:42:45,2014-05-16 3:42:45;INFO;TASK;*;Error couldn't find task marker to update on A001R1ND (6fd04b35-8746-40ce-9d91-8aaccebc5122);,None.,codex.log
1400208165000,2014-4-16 3:42:45,2014-05-16 3:42:45;INFO;TASK;*;Error couldn't find task marker to update on A001R1ND (6fd04b35-8746-40ce-9d91-8aaccebc5122);Destination ed5bcdde-9ea4-4abe-8a17-2cc5648f8c15;,None.,codex.log
1400208170000,2014-4-16 3:42:50,2014-05-16 3:42:50;INFO;TASK;*;Error couldn't find task marker to update on A001R1ND (6fd04b35-8746-40ce-9d91-8aaccebc5122);Complete,None.,codex.log
1400208170000,2014-4-16 3:42:50,2014-05-16 3:42:50;INFO;TASK;*;Task finished - state: Complete;clone to internal:Clone:96e15ca7-d792-454d-b639-bd09fccec94c,None.,codex.log
1400208170000,2014-4-16 3:42:50,2014-05-16 3:42:50;INFO;TASK;*;Job completed:clone to internal on A001R1ND @ 16 May 2014 3:42:50 am;96e15ca7-d792-454d-b639-bd09fccec94c,None.,codex.log
1400208784000,2014-4-16 3:53:4,2014-05-16 3:53:04;WARNING;TASK;*;INT109 now has a different number of shots on it (1 was 0);UMID: ed5bcdde-9ea4-4abe-8a17-2cc5648f8c15,None.,codex.log
1400210497000,2014-4-16 4:21:37,2014-05-16 4:21:37;INFO;TASK;*;New task;verify:Media Verify:65190b91-f9ab-48d0-b691-39900981f35c,None.,codex.log
1400210497000,2014-4-16 4:21:37,2014-05-16 4:21:37;INFO;TASK;*;Task started;verify:Media Verify:65190b91-f9ab-48d0-b691-39900981f35c,None.,codex.log
